company_id,company_name,ctry_code,worldrank,nace2,isic4,year,rd,ns,capex,op,emp,patCN,patEP,patJP,patKR,patUS,TMnEU,TMnUS
1260,FIAT CHRYSLER AUTOMOBILES,NL,40,2910,29-30,2017,4282.000009,110933.996737,5659.000017,7553.999778,196511,28,58,18,8,39,4,38
979,PANASONIC,JP,32,2751,27,2018,4260.143731,63063.099980,2490.795683,3030.596999,249520,1714,735,2218,95,1672,31,63
1529,BRISTOL-MYERS SQUIBB,US,24,2120,21,2016,4230.565391,16966.802999,1061.134855,4619.211424,25000,0,0,0,0,0,43,152
1260,FIAT CHRYSLER AUTOMOBILES,NL,40,2910,29-30,2016,4219.000228,111018.002033,5708.999932,5106.000230,231019,0,14,0,0,11,13,41
1494,FACEBOOK,US,11,6209,62-63,2015,4206.111189,15657.633543,2203.492448,5436.678417,12691,,,,,,,
1473,GENERAL ELECTRIC,US,44,2811,28,2017,4194.757901,103268.943727,6437.551230,-4501.307849,313000,1557,1655,801,215,2127,18,109
1087,NISSAN MOTOR,JP,35,2910,29-30,2015,4191.389307,96055.790782,4186.361097,5919.531453,152421,,,,,,,
1473,GENERAL ELECTRIC,US,44,2811,28,2016,4176.416900,104530.081153,6287.333090,8524.012752,295000,123,157,48,11,1544,25,121
1880,DELL TECHNOLOGIES,US,31,2620,26,2017,4151.089583,69030.530751,1193.885808,-2011.352684,145000,122,29,6,0,161,17,42
1445,IBM,US,33,6201,62-63,2018,4150.216468,69511.756301,2965.064021,10848.029517,350600,1882,940,541,2933,2934,5,31
681,GLAXOSMITHKLINE,GB,34,2120,21,2018,4141.279496,34173.592925,1490.195282,5868.752953,95490,97,131,74,34,87,41,138
1087,NISSAN MOTOR,JP,35,2910,29-30,2018,4122.389946,91207.318008,3329.925938,2402.553335,138893,171,144,115,41,124,2,4
1260,FIAT CHRYSLER AUTOMOBILES,NL,40,2910,29-30,2015,4108.000081,110595.002770,8818.999864,2612.000098,238162,,,,,,,
568,NOKIA,FI,36,2630,26,2018,4044.000059,22562.999278,671.999995,7.000000,103083,223,319,26,36,303,2,6
1534,CELGENE,US,37,2120,21,2018,3972.050268,13345.845044,288.209470,4631.438293,8852,51,64,46,39,64,2,13
979,PANASONIC,JP,32,2751,27,2017,3954.423591,62901.005149,3108.618548,3161.550034,274143,1553,706,2511,78,1607,21,37
1097,DENSO,JP,38,2932,29-30,2018,3919.743001,42259.685695,3232.778981,2450.133674,171992,1559,150,1144,1522,1811,7,11
1087,NISSAN MOTOR,JP,35,2910,29-30,2017,3907.189704,94177.536666,3142.598085,4401.829559,138910,360,327,366,180,318,0,3
1534,CELGENE,US,37,2120,21,2016,3904.015291,9807.156399,206.288096,2454.234520,7132,1,2,2,2,3,4,34
1087,NISSAN MOTOR,JP,35,2910,29-30,2016,3864.085302,92356.212437,3969.608806,5805.307999,137250,158,159,192,100,167,4,4
1649,ELI LILLY,US,51,2120,21,2016,3851.701273,18534.576520,905.676396,3131.439444,41975,2,3,2,1,2,50,191
964,SONY,JP,39,2640,26,2018,3791.965544,68287.305534,2463.695593,7046.746090,114400,1218,1061,1184,416,1510,46,123
